Country,Economic Freedom 2016,Economic Freedom 2015
Albania,7.54,7.53
Algeria,4.99,4.83
Angola,5.17,5.44
Argentina,4.84,4.98
Armenia,7.57,7.59
Australia,7.98,8
Austria,7.58,7.64
Azerbaijan,6.49,6.38
Bahamas,7.34,7.35
Bahrain,7.56,7.37
Bangladesh,6.3,6.33
Barbados,6.43,6.5
Belarus,6.23,
Belgium,7.32,7.43
Belize,6.86,6.81
Benin,5.98,5.78
Bhutan,7.02,7.11
Bolivia,6.23,6.05
Bosnia and Herzegovina,6.6,6.63
Botswana,7.43,7.35
Brazil,5.75,5.75
Brunei Darussalam,6.93,6.77
Bulgaria,7.41,7.4
Burkina Faso,6.05,6.03
Burundi,5.92,5.87
Cambodia,7.17,7.2
Cameroon,5.82,5.79
Canada,7.98,7.91
Cape Verde,6.68,6.67
Central Afr. Rep.,5.11,4.63
Chad,5.44,5.23
Chile,7.8,7.79
China,6.46,6.39
Colombia,6.5,6.55
"Congo, Dem. R.",5.67,5.78
"Congo, Rep. Of",5.02,4.81
Costa Rica,7.55,7.51
Cote d'Ivoire,6,5.93
Croatia,6.96,7.04
Cyprus,7.71,7.69
Czech Rep.,7.56,7.49
Denmark,7.77,7.75
Dominican Rep.,7.18,7.24
Ecuador,6.06,6.09
Egypt,5.72,5.77
El Salvador,7.15,7.14
Estonia,7.86,7.93
Ethiopia,5.73,5.55
Fiji,6.79,6.82
Finland,7.65,7.71
France,7.25,7.35
Gabon,5.84,5.78
"Gambia, The",7.34,7.22
Georgia,8.02,7.98
Germany,7.69,7.67
Ghana,6.6,6.52
Greece,6.46,6.45
Guatemala,7.64,7.69
Guinea,5.93,5.74
Guinea-Bissau,5.25,5.58
Guyana,6.31,6.52
Haiti,6.51,6.54
Honduras,7.06,7.35
Hong Kong,8.97,8.97
Hungary,7.22,7.19
Iceland,7.22,7.25
India,6.63,6.61
Indonesia,7.16,7
Iran,6.03,5.4
Iraq,5.4,
Ireland,8.07,8.25
Israel,7.49,7.47
Italy,7.27,7.31
Jamaica,7.18,7.25
Japan,7.47,7.46
Jordan,7.46,7.47
Kazakhstan,7.11,7.26
Kenya,7.2,7.11
"Korea, South",7.53,7.55
Kuwait,6.75,6.59
Kyrgyz Republic,6.93,6.81
Laos,6.91,6.97
Latvia,7.64,7.72
Lebanon,6.99,7.01
Lesotho,6.38,6.49
Liberia,6.56,6.87
Libya,4.74,4.89
Lithuania,7.86,7.86
Luxembourg,7.6,7.64
Macedonia,7.13,7.16
Madagascar,6.19,6.31
Malawi,5.86,5.76
Malaysia,6.92,7.15
Mali,5.8,5.82
Malta,7.73,7.72
Mauritania,5.96,5.7
Mauritius,8.01,8.02
Mexico,6.9,6.88
Moldova,6.64,6.57
Mongolia,7.4,7.38
Montenegro,7.04,6.74
Morocco,6.37,6.36
Mozambique,5.5,5.63
Myanmar,5.42,5.32
Namibia,6.4,6.61
Nepal,6.53,6.5
Netherlands,7.71,7.73
New Zealand,8.49,8.48
Nicaragua,7.27,7.27
Niger,6.01,5.74
Nigeria,6.32,6.39
Norway,7.6,7.65
Oman,6.76,6.64
Pakistan,6,5.92
Panama,7.58,7.57
Pap. New Guinea,6.25,6.17
Paraguay,6.95,6.91
Peru,7.43,7.47
Philippines,7.34,7.43
Poland,7.27,7.36
Portugal,7.51,7.55
Qatar,7.49,7.43
Romania,7.69,7.7
Russia,6.83,6.65
Rwanda,7.48,7.56
Saudi Arabia,6.52,6.24
Senegal,6.22,6.15
Serbia,6.85,6.76
Seychelles,7.23,7.33
Sierra Leone,5.75,5.78
Singapore,8.84,8.84
Slovak Rep,7.3,7.24
Slovenia,7.05,7.08
South Africa,6.65,6.84
Spain,7.56,7.53
Sri Lanka,6.49,6.63
Sudan,5.36,
Suriname,6.36,6.85
Swaziland,6.46,6.44
Sweden,7.44,7.65
Switzerland,8.39,8.37
Syria,5.02,4.96
Taiwan,7.89,7.76
Tajikistan,6.72,6.65
Tanzania,6.92,6.92
Thailand,6.85,6.8
Timor-Leste,6.55,6.6
Togo,5.82,5.69
Trinidad & Tob.,6.73,6.48
Tunisia,6.29,6.33
Turkey,6.84,6.84
Uganda,7.41,7.3
Ukraine,5.98,5.4
Unit. Arab Em.,7.5,7.45
United Kingdom,8,8.01
United States,8.03,7.93
Uruguay,7.16,7.15
Venezuela,2.88,2.96
Vietnam,6.42,6.3
"Yemen, Rep.",6.34,6.07
Zambia,6.61,6.74
Zimbabwe,6.06,6.01
