Country,Economy (in Millions)
United States,"19,485,394.00"
China,"12,237,700.00"
Japan,"4,872,415.00"
Germany,"3,693,204.00"
India,"2,650,725.00"
United Kingdom,"2,637,866.00"
France,"2,582,501.00"
Brazil,"2,053,595.00"
Italy,"1,943,835.00"
Canada,"1,647,120.00"
Russian Federation,"1,578,417.00"
"Korea, Rep.","1,530,751.00"
Australia,"1,323,421.00"
Spain,"1,314,314.00"
Mexico,"1,150,888.00"
Indonesia,"1,015,421.00"
Turkey,"851,549.00"
Netherlands,"830,573.00"
Saudi Arabia,"686,738.00"
Switzerland,"678,965.00"
Argentina,"637,430.00"
Sweden,"535,607.00"
Poland,"526,466.00"
Belgium,"494,764.00"
Thailand,"455,303.00"
"Iran, Islamic Rep.","454,013.00"
Austria,"416,836.00"
Norway,"399,489.00"
United Arab Emirates,"382,575.00"
Nigeria,"375,745.00"
Israel,"353,268.00"
South Africa,"348,872.00"
"Hong Kong SAR, China","341,449.00"
Ireland,"331,430.00"
Denmark,"329,866.00"
Singapore,"323,907.00"
Malaysia,"314,710.00"
Colombia,"314,458.00"
Philippines,"313,595.00"
Pakistan,"304,952.00"
Chile,"277,076.00"
Finland,"252,302.00"
Bangladesh,"249,724.00"
"Egypt, Arab Rep.","235,369.00"
Vietnam,"223,780.00"
Portugal,"219,308.00"
Czech Republic,"215,914.00"
Romania,"211,884.00"
Peru,"211,389.00"
New Zealand,"204,139.00"
Greece,"203,086.00"
Iraq,"192,061.00"
Algeria,"167,555.00"
Qatar,"166,929.00"
Kazakhstan,"162,887.00"
Hungary,"139,761.00"
Angola,"122,124.00"
Kuwait,"120,126.00"
Sudan,"117,488.00"
Ukraine,"112,154.00"
Morocco,"109,709.00"
Ecuador,"104,296.00"
Puerto Rico,"103,961.00"
Cuba,"96,851.00"
Slovak Republic,"95,618.00"
Sri Lanka,"87,357.00"
Ethiopia,"80,561.00"
Kenya,"79,263.00"
Dominican Republic,"75,932.00"
Guatemala,"75,620.00"
Oman,"70,784.00"
Myanmar,"67,069.00"
Luxembourg,"62,316.00"
Panama,"62,284.00"
Ghana,"58,997.00"
Bulgaria,"58,221.00"
Costa Rica,"57,286.00"
Uruguay,"56,157.00"
Croatia,"55,213.00"
Belarus,"54,456.00"
Lebanon,"53,577.00"
Tanzania,"53,321.00"
"Macao SAR, China","50,361.00"
Uzbekistan,"49,677.00"
Slovenia,"48,770.00"
Lithuania,"47,544.00"
Serbia,"41,432.00"
Azerbaijan,"40,748.00"
Jordan,"40,068.00"
Tunisia,"39,952.00"
Paraguay,"39,667.00"
Libya,"38,108.00"
Turkmenistan,"37,926.00"
"Congo, Dem. Rep.","37,642.00"
Bolivia,"37,509.00"
Côte d'Ivoire,"37,353.00"
Bahrain,"35,433.00"
Cameroon,"34,923.00"
"Yemen, Rep.","31,268.00"
Latvia,"30,463.00"
Estonia,"26,612.00"
Uganda,"25,995.00"
Zambia,"25,868.00"
Nepal,"24,880.00"
El Salvador,"24,805.00"
Iceland,"24,488.00"
Honduras,"22,979.00"
Cambodia,"22,158.00"
Trinidad and Tobago,"22,079.00"
Cyprus,"22,054.00"
Zimbabwe,"22,041.00"
Senegal,"21,070.00"
Papua New Guinea,"20,536.00"
Afghanistan,"19,544.00"
Bosnia and Herzegovina,"18,055.00"
Botswana,"17,407.00"
Lao PDR,"16,853.00"
Mali,"15,334.00"
Georgia,"15,081.00"
Gabon,"15,014.00"
Jamaica,"14,781.00"
West Bank and Gaza,"14,498.00"
Nicaragua,"13,814.00"
Mauritius,"13,266.00"
Namibia,"13,254.00"
Albania,"13,039.00"
Mozambique,"12,646.00"
Malta,"12,518.00"
Burkina Faso,"12,323.00"
Equatorial Guinea,"12,294.00"
"Bahamas, The","12,162.00"
Brunei Darussalam,"12,128.00"
Armenia,"11,537.00"
Madagascar,"11,500.00"
Mongolia,"11,434.00"
North Macedonia,"11,280.00"
Guinea,"10,473.00"
Chad,"9,871.00"
Benin,"9,247.00"
Rwanda,"9,135.00"
"Congo, Rep.","8,701.00"
Haiti,"8,408.00"
Moldova,"8,128.00"
Niger,"8,120.00"
Kyrgyz Republic,"7,565.00"
Kosovo,"7,245.00"
Tajikistan,"7,146.00"
Somalia,"7,052.00"
Isle of Man,"6,593.00"
Monaco,"6,468.00"
Malawi,"6,303.00"
Liechtenstein,"6,215.00"
Guam,"5,859.00"
Fiji,"5,061.00"
Mauritania,"5,025.00"
Maldives,"4,866.00"
Montenegro,"4,845.00"
Togo,"4,758.00"
Barbados,"4,674.00"
Eswatini,"4,434.00"
Sierra Leone,"3,775.00"
Virgin Islands (U.S.),"3,759.00"
Guyana,"3,621.00"
Liberia,"3,285.00"
Burundi,"3,172.00"
Andorra,"3,013.00"
Suriname,"2,996.00"
Timor-Leste,"2,955.00"
South Sudan,"2,904.00"
Greenland,"2,706.00"
Aruba,"2,701.00"
Lesotho,"2,578.00"
Bhutan,"2,528.00"
Faroe Islands,"2,477.00"
Central African Republic,"1,949.00"
Belize,"1,863.00"
Djibouti,"1,845.00"
Cabo Verde,"1,773.00"
St. Lucia,"1,738.00"
San Marino,"1,633.00"
Northern Mariana Islands,"1,593.00"
Antigua and Barbuda,"1,510.00"
Seychelles,"1,498.00"
"Gambia, The","1,489.00"
Guinea-Bissau,"1,347.00"
Solomon Islands,"1,303.00"
Grenada,"1,127.00"
Comoros,"1,068.00"
St. Kitts and Nevis,992
Vanuatu,863
Samoa,841
St. Vincent and the Grenadines,785
American Samoa,634
Dominica,497
Tonga,428
São Tomé and Principe,393
"Micronesia, Fed. Sts.",336
Palau,290
Marshall Islands,204
Kiribati,186
Nauru,114
Tuvalu,40
