Country,Happiness Score
Norway,7.537000179
Denmark,7.521999836
Iceland,7.504000187
Switzerland,7.493999958
Finland,7.468999863
Netherlands,7.376999855
Canada,7.315999985
New Zealand,7.31400013
Sweden,7.28399992
Australia,7.28399992
Israel,7.212999821
Costa Rica,7.078999996
Austria,7.006000042
United States,6.993000031
Ireland,6.977000237
Germany,6.951000214
Belgium,6.890999794
Luxembourg,6.862999916
United Kingdom,6.714000225
Chile,6.65199995
United Arab Emirates,6.647999763
Brazil,6.635000229
Czech Republic,6.609000206
Argentina,6.598999977
Mexico,6.578000069
Singapore,6.572000027
Malta,6.52699995
Uruguay,6.453999996
Guatemala,6.453999996
Panama,6.452000141
France,6.441999912
Thailand,6.423999786
Taiwan Province of China,6.421999931
Spain,6.402999878
Qatar,6.375
Colombia,6.356999874
Saudi Arabia,6.343999863
Trinidad and Tobago,6.168000221
Kuwait,6.105000019
Slovakia,6.09800005
Bahrain,6.086999893
Malaysia,6.084000111
Nicaragua,6.071000099
Ecuador,6.007999897
El Salvador,6.002999783
Poland,5.97300005
Uzbekistan,5.971000195
Italy,5.964000225
Russia,5.962999821
Belize,5.955999851
Japan,5.920000076
Lithuania,5.90199995
Algeria,5.872000217
Latvia,5.849999905
South Korea,5.837999821
Moldova,5.837999821
Romania,5.824999809
Bolivia,5.822999954
Turkmenistan,5.822000027
Kazakhstan,5.818999767
North Cyprus,5.809999943
Slovenia,5.757999897
Peru,5.715000153
Mauritius,5.629000187
Cyprus,5.620999813
Estonia,5.611000061
Belarus,5.568999767
Libya,5.525000095
Turkey,5.5
Paraguay,5.493000031
"Hong Kong S.A.R., China",5.472000122
Philippines,5.429999828
Serbia,5.394999981
Jordan,5.335999966
Hungary,5.323999882
Jamaica,5.31099987
Croatia,5.293000221
Kosovo,5.278999805
China,5.272999763
Pakistan,5.269000053
Indonesia,5.262000084
Venezuela,5.25
Montenegro,5.236999989
Morocco,5.235000134
Azerbaijan,5.234000206
Dominican Republic,5.230000019
Greece,5.227000237
Lebanon,5.224999905
Portugal,5.195000172
Bosnia and Herzegovina,5.18200016
Honduras,5.181000233
Macedonia,5.175000191
Somalia,5.151000023
Vietnam,5.073999882
Nigeria,5.073999882
Tajikistan,5.040999889
Bhutan,5.011000156
Kyrgyzstan,5.004000187
Nepal,4.961999893
Mongolia,4.954999924
South Africa,4.828999996
Tunisia,4.804999828
Palestinian Territories,4.775000095
Egypt,4.735000134
Bulgaria,4.714000225
Sierra Leone,4.709000111
Cameroon,4.695000172
Iran,4.691999912
Albania,4.644000053
Bangladesh,4.607999802
Namibia,4.573999882
Kenya,4.552999973
Mozambique,4.550000191
Myanmar,4.545000076
Senegal,4.534999847
Zambia,4.513999939
Iraq,4.497000217
Gabon,4.465000153
Ethiopia,4.460000038
Sri Lanka,4.440000057
Armenia,4.375999928
India,4.315000057
Mauritania,4.291999817
Congo (Brazzaville),4.290999889
Georgia,4.285999775
Congo (Kinshasa),4.28000021
Mali,4.190000057
Ivory Coast,4.179999828
Cambodia,4.168000221
Sudan,4.138999939
Ghana,4.119999886
Ukraine,4.096000195
Uganda,4.080999851
Burkina Faso,4.032000065
Niger,4.027999878
Malawi,3.970000029
Chad,3.936000109
Zimbabwe,3.875
Lesotho,3.808000088
Angola,3.795000076
Afghanistan,3.79399991
Botswana,3.766000032
Benin,3.657000065
Madagascar,3.644000053
Haiti,3.602999926
Yemen,3.592999935
South Sudan,3.59100008
Liberia,3.532999992
Guinea,3.506999969
Togo,3.494999886
Rwanda,3.470999956
Syria,3.461999893
Tanzania,3.348999977
Burundi,2.904999971
Central African Republic,2.693000078
